product,date,price,exp,count
apple,2022-03-01,1.0,2022-03-25,50
apple,2022-03-01,1.0,2022-03-25,50
apple,2022-03-01,1.0,2022-03-25,50
cherries,2022-03-01,1.0,2022-03-25,50
mango,2022-03-01,1.0,2022-03-10,50
mango,2022-03-01,1.0,2022-03-10,50
lemon,2022-03-01,1.0,2022-03-10,50
jackfruit,2022-03-01,1.0,2022-03-10,50
lemon,2022-03-01,1.0,2022-03-10,50
pear,2022-03-01,1.0,2022-03-10,50
papaya,2022-03-01,1.0,2022-03-10,50
pineapple,2022-03-01,1.0,2022-03-10,50
strawberry,2022-03-01,2.0,2022-03-25,100
